time,temperature_c,wind_kmh,rain_mm
2026-09-13 00:00,10.8,6.0,0.0
2026-09-13 01:00,9.8,6.0,0.0
2026-09-13 02:00,9.2,6.0,0.0
2026-09-13 03:00,9.0,6.0,0.0
2026-09-13 04:00,9.2,6.0,0.0
2026-09-13 05:00,9.8,6.0,0.0
2026-09-13 06:00,10.8,6.0,0.0
2026-09-13 07:00,12.0,6.0,0.0
2026-09-13 08:00,13.4,6.0,0.0
2026-09-13 09:00,15.0,7.8,0.0
2026-09-13 10:00,16.6,9.5,0.0
2026-09-13 11:00,18.0,10.9,0.0
2026-09-13 12:00,19.2,12.1,0.0
2026-09-13 13:00,20.2,12.8,0.0
2026-09-13 14:00,20.8,13.0,0.0
2026-09-13 15:00,21.0,12.8,0.0
2026-09-13 16:00,20.8,12.1,0.0
2026-09-13 17:00,20.2,10.9,0.0
2026-09-13 18:00,19.2,9.5,0.0
2026-09-13 19:00,18.0,7.8,0.0
2026-09-13 20:00,16.6,6.0,0.0
2026-09-13 21:00,15.0,6.0,0.0
2026-09-13 22:00,13.4,6.0,0.0
2026-09-13 23:00,12.0,6.0,0.0
2026-09-14 00:00,11.9,6.0,0.0
2026-09-14 01:00,10.9,6.0,0.0
2026-09-14 02:00,10.2,6.0,0.0
2026-09-14 03:00,10.0,6.0,0.0
2026-09-14 04:00,10.2,6.0,0.0
2026-09-14 05:00,10.9,6.0,0.0
2026-09-14 06:00,11.9,6.0,0.0
2026-09-14 07:00,13.2,6.0,0.0
2026-09-14 08:00,14.8,6.0,0.0
2026-09-14 09:00,16.5,7.8,0.0
2026-09-14 10:00,18.2,9.5,0.0
2026-09-14 11:00,19.8,10.9,0.0
2026-09-14 12:00,21.1,12.1,0.0
2026-09-14 13:00,22.1,12.8,0.0
2026-09-14 14:00,22.8,13.0,0.0
2026-09-14 15:00,23.0,12.8,0.0
2026-09-14 16:00,22.8,12.1,0.0
2026-09-14 17:00,22.1,10.9,0.0
2026-09-14 18:00,21.1,9.5,0.0
2026-09-14 19:00,19.8,7.8,0.0
2026-09-14 20:00,18.2,6.0,1.0
2026-09-14 21:00,16.5,6.0,1.0
2026-09-14 22:00,14.8,6.0,1.0
2026-09-14 23:00,13.3,6.0,0.0
2026-09-15 00:00,12.3,6.0,0.0
2026-09-15 01:00,11.6,6.0,0.0
2026-09-15 02:00,11.2,6.0,0.0
2026-09-15 03:00,11.0,6.0,0.0
2026-09-15 04:00,11.2,6.0,0.0
2026-09-15 05:00,11.6,6.0,2.0
2026-09-15 06:00,12.3,6.0,2.0
2026-09-15 07:00,13.2,6.0,2.0
2026-09-15 08:00,14.3,6.0,2.0
2026-09-15 09:00,15.5,7.8,0.0
2026-09-15 10:00,16.7,9.5,0.0
2026-09-15 11:00,17.8,10.9,0.0
2026-09-15 12:00,18.7,12.1,0.0
2026-09-15 13:00,19.4,12.8,0.0
2026-09-15 14:00,19.8,13.0,0.0
2026-09-15 15:00,20.0,12.8,0.0
2026-09-15 16:00,19.8,12.1,0.0
2026-09-15 17:00,19.4,10.9,0.0
2026-09-15 18:00,18.7,9.5,0.0
2026-09-15 19:00,17.8,7.8,0.0
2026-09-15 20:00,16.7,6.0,0.0
2026-09-15 21:00,15.5,6.0,0.0
2026-09-15 22:00,14.3,6.0,0.0
2026-09-15 23:00,13.3,6.0,0.0
2026-09-16 00:00,9.6,6.0,0.0
2026-09-16 01:00,8.7,6.0,0.0
2026-09-16 02:00,8.2,6.0,0.0
2026-09-16 03:00,8.0,6.0,0.0
2026-09-16 04:00,8.2,6.0,0.0
2026-09-16 05:00,8.7,6.0,0.0
2026-09-16 06:00,9.6,6.0,0.0
2026-09-16 07:00,10.8,6.0,0.0
2026-09-16 08:00,12.1,6.0,0.0
2026-09-16 09:00,13.5,7.8,0.0
2026-09-16 10:00,14.9,9.5,0.0
2026-09-16 11:00,16.2,10.9,0.0
2026-09-16 12:00,17.4,13.1,0.0
2026-09-16 13:00,18.3,13.1,0.0
2026-09-16 14:00,18.8,13.1,0.0
2026-09-16 15:00,19.0,13.1,0.0
2026-09-16 16:00,18.8,12.1,0.0
2026-09-16 17:00,18.3,10.9,0.0
2026-09-16 18:00,17.4,9.5,0.0
2026-09-16 19:00,16.2,7.8,0.0
2026-09-16 20:00,14.9,6.0,0.0
2026-09-16 21:00,13.5,6.0,0.0
2026-09-16 22:00,12.1,6.0,0.0
2026-09-16 23:00,10.8,6.0,0.0
2026-09-17 00:00,10.9,14.0,0.0
2026-09-17 01:00,9.9,14.0,0.0
2026-09-17 02:00,9.2,14.0,0.0
2026-09-17 03:00,9.0,14.0,0.0
