option_id,candidate_id,plan_id,field_id,operation,target,start_time,end_time,completion_time,machine_id,work_hours,workload_hours,remaining_workload_hours,workers_required,water_ml,direct_revenue_aud,direct_cost_aud,direct_cash_effect_aud,state_yield_effect_t_ha
F7_O012,P13_F7_spray_20260915_0900,P13,F7,spray,disease_control,2026-09-15 09:00:00,2026-09-15 17:00:00,2026-09-18 14:45:56,M3,8.0,13.3333,7.5333,1,0.0,0.0,3830.89,-3830.89,0.1904
F1_O010,P01_F1_harvest_20260916_0700,P01,F1,harvest,wheat,2026-09-16 07:00:00,2026-09-16 17:00:00,2026-09-22 08:28:30,M1,10.0,20.0,10.15,2,0.0,149840.84,5437.5,144403.34,0.0
F4_O015,P07_F4_fertilise_20260916_0700,P07,F4,fertilise,nitrogen,2026-09-16 07:00:00,2026-09-16 17:00:00,2026-09-19 08:00:06,M4,10.0,13.3333,3.4833,1,0.0,0.0,9061.74,-9061.74,0.2239
F5_O001,P09_F5_plant_20260916_0700,P09,F5,plant,maize,2026-09-16 07:00:00,2026-09-16 17:00:00,2026-09-22 16:40:44,M5,10.0,21.2,11.35,2,0.0,0.0,17760.04,-17760.04,4.8537
F3_O019,P05_F3_spray_20260917_0700,P05,F3,spray,weed_control,2026-09-17 07:00:00,2026-09-17 14:46:10,2026-09-19 08:00:06,M10,7.7697,16.7917,9.7018,1,0.0,0.0,3906.06,-3906.06,0.4547
F3_O019,P05_F3_spray_20260917_0700,P05,F3,spray,weed_control,2026-09-18 07:00:00,2026-09-18 17:00:00,2026-09-19 08:00:06,M10,10.0,16.7917,0.001,1,0.0,0.0,0.0,0.0,0.0
F4_O015,P07_F4_fertilise_20260916_0700,P07,F4,fertilise,nitrogen,2026-09-18 07:00:00,2026-09-18 10:35:22,2026-09-19 08:00:06,M4,3.5897,13.3333,0.001,1,0.0,0.0,0.0,0.0,0.0
F5_O001,P09_F5_plant_20260916_0700,P09,F5,plant,maize,2026-09-18 07:00:00,2026-09-18 08:43:20,2026-09-22 16:40:44,M5,1.7224,21.2,9.6792,2,0.0,0.0,0.0,0.0,0.0
F7_O012,P13_F7_spray_20260915_0900,P13,F7,spray,disease_control,2026-09-18 07:00:00,2026-09-18 14:45:56,2026-09-18 14:45:56,M3,7.7656,13.3333,0.0,1,0.0,0.0,0.0,0.0,0.0
F3_O019,P05_F3_spray_20260917_0700,P05,F3,spray,weed_control,2026-09-19 08:00:00,2026-09-19 08:00:06,2026-09-19 08:00:06,M10,0.0017,16.7917,0.0,1,0.0,0.0,0.0,0.0,0.0
F4_O015,P07_F4_fertilise_20260916_0700,P07,F4,fertilise,nitrogen,2026-09-19 08:00:00,2026-09-19 08:00:06,2026-09-19 08:00:06,M4,0.0017,13.3333,0.0,1,0.0,0.0,0.0,0.0,0.0
F1_O010,P01_F1_harvest_20260916_0700,P01,F1,harvest,wheat,2026-09-21 07:00:00,2026-09-21 17:00:00,2026-09-22 08:28:30,M1,10.0,20.0,1.475,2,0.0,0.0,0.0,0.0,0.0
F1_O010,P01_F1_harvest_20260916_0700,P01,F1,harvest,wheat,2026-09-22 07:00:00,2026-09-22 08:28:30,2026-09-22 08:28:30,M1,1.475,20.0,0.0,2,0.0,0.0,0.0,0.0,0.0
F3_O019,P06_F3_fertilise_20260921_0700,P06,F3,fertilise,nitrogen,2026-09-22 07:00:00,2026-09-22 14:41:30,2026-09-23 17:00:00,M4,7.6917,16.7917,9.1,1,0.0,0.0,9065.67,-9065.67,0.2273
F5_O001,P09_F5_plant_20260916_0700,P09,F5,plant,maize,2026-09-22 07:00:00,2026-09-22 16:40:44,2026-09-22 16:40:44,M5,9.6792,21.2,0.0,2,0.0,0.0,0.0,0.0,0.0
F3_O019,P06_F3_fertilise_20260921_0700,P06,F3,fertilise,nitrogen,2026-09-23 07:00:00,2026-09-23 17:00:00,2026-09-23 17:00:00,M4,10.0,16.7917,0.0,1,0.0,0.0,0.0,0.0,0.0
F4_O015,P08_F4_spray_20260920_0800,P08,F4,spray,disease_control,2026-09-23 07:00:00,2026-09-23 17:00:00,2026-09-24 11:58:49,M3,10.0,13.3333,4.2333,1,0.0,0.0,4020.01,-4020.01,0.3073
F4_O015,P08_F4_spray_20260920_0800,P08,F4,spray,disease_control,2026-09-24 07:00:00,2026-09-24 11:58:49,2026-09-24 11:58:49,M3,4.9804,13.3333,0.0,1,0.0,0.0,0.0,0.0,0.0
F7_O012,P14_F7_harvest_20260923_0700,P14,F7,harvest,wheat,2026-09-24 07:00:00,2026-09-24 07:28:03,2026-09-26 15:00:00,M1,0.4676,16.0,15.6025,2,0.0,119494.41,4529.41,114965.0,0.0
F7_O012,P14_F7_harvest_20260923_0700,P14,F7,harvest,wheat,2026-09-25 07:00:00,2026-09-25 17:00:00,2026-09-26 15:00:00,M1,10.0,16.0,6.325,2,0.0,0.0,0.0,0.0,0.0
F7_O012,P14_F7_harvest_20260923_0700,P14,F7,harvest,wheat,2026-09-26 08:00:00,2026-09-26 15:00:00,2026-09-26 15:00:00,M1,7.0,16.0,0.0,2,0.0,0.0,0.0,0.0,0.0
