option_id,candidate_id,plan_id,field_id,operation,target,start_time,end_time,completion_time,machine_id,work_hours,workload_hours,remaining_workload_hours,workers_required,water_ml,direct_revenue_aud,direct_cost_aud,direct_cash_effect_aud,state_yield_effect_t_ha
F5_O001,P09_F5_plant_20260917_0700,P09,F5,plant,maize,2026-09-18 07:00:00,2026-09-18 17:00:00,2026-09-22 09:37:30,M5,10.0,15.2,5.2,2,0.0,0.0,12616.0,-12616.0,5.8404
F7_O006,P13_F7_spray_20260918_0800,P13,F7,spray,disease_control,2026-09-18 08:00:00,2026-09-18 14:40:00,2026-09-18 14:40:00,M9,6.6667,6.6667,0.0,1,0.0,0.0,1797.78,-1797.78,0.3115
F2_O004,P03_F2_spray_20260918_0900,P03,F2,spray,pest_control,2026-09-18 09:00:00,2026-09-18 17:00:00,2026-09-21 10:00:00,M3,8.0,15.0,7.0,1,0.0,0.0,3685.0,-3685.0,0.2388
F2_O004,P03_F2_spray_20260918_0900,P03,F2,spray,pest_control,2026-09-19 08:00:00,2026-09-19 11:00:00,2026-09-21 10:00:00,M3,3.0,15.0,4.0,1,0.0,0.0,0.0,0.0,0.0
F1_O002,P01_F1_harvest_20260919_0900,P01,F1,harvest,wheat,2026-09-19 09:00:00,2026-09-19 11:00:00,2026-09-22 17:00:00,M1,2.0,24.0,22.0,2,0.0,183095.34,6000.0,177095.34,0.0
F1_O002,P01_F1_harvest_20260919_0900,P01,F1,harvest,wheat,2026-09-20 08:00:00,2026-09-20 10:00:00,2026-09-22 17:00:00,M1,2.0,24.0,20.0,2,0.0,0.0,0.0,0.0,0.0
F2_O004,P03_F2_spray_20260918_0900,P03,F2,spray,pest_control,2026-09-20 08:00:00,2026-09-20 09:00:00,2026-09-21 10:00:00,M3,1.0,15.0,3.0,1,0.0,0.0,0.0,0.0,0.0
F5_O001,P09_F5_plant_20260917_0700,P09,F5,plant,maize,2026-09-20 08:00:00,2026-09-20 10:34:30,2026-09-22 09:37:30,M5,2.575,15.2,2.625,2,0.0,0.0,0.0,0.0,0.0
F6_O001,P11_F6_spray_20260920_0800,P11,F6,spray,pest_control,2026-09-20 08:00:00,2026-09-20 14:00:00,2026-09-22 11:45:00,M9,6.0,13.75,7.75,1,0.0,0.0,3377.92,-3377.92,0.3687
F1_O002,P01_F1_harvest_20260919_0900,P01,F1,harvest,wheat,2026-09-21 07:00:00,2026-09-21 17:00:00,2026-09-22 17:00:00,M1,10.0,24.0,10.0,2,0.0,0.0,0.0,0.0,0.0
F2_O004,P03_F2_spray_20260918_0900,P03,F2,spray,pest_control,2026-09-21 07:00:00,2026-09-21 10:00:00,2026-09-21 10:00:00,M3,3.0,15.0,0.0,1,0.0,0.0,0.0,0.0,0.0
F4_O003,P07_F4_fertilise_20260919_0800,P07,F4,fertilise,nitrogen,2026-09-21 07:00:00,2026-09-21 15:19:59,2026-09-21 15:19:59,M4,8.3333,8.3333,0.0,1,0.0,0.0,5633.33,-5633.33,0.2713
F6_O001,P11_F6_spray_20260920_0800,P11,F6,spray,pest_control,2026-09-21 07:00:00,2026-09-21 10:00:00,2026-09-22 11:45:00,M9,3.0,13.75,4.75,1,0.0,0.0,0.0,0.0,0.0
F1_O002,P01_F1_harvest_20260919_0900,P01,F1,harvest,wheat,2026-09-22 07:00:00,2026-09-22 17:00:00,2026-09-22 17:00:00,M1,10.0,24.0,0.0,2,0.0,0.0,0.0,0.0,0.0
F5_O001,P09_F5_plant_20260917_0700,P09,F5,plant,maize,2026-09-22 07:00:00,2026-09-22 09:37:30,2026-09-22 09:37:30,M5,2.625,15.2,0.0,2,0.0,0.0,0.0,0.0,0.0
F6_O001,P11_F6_spray_20260920_0800,P11,F6,spray,pest_control,2026-09-22 07:00:00,2026-09-22 11:45:00,2026-09-22 11:45:00,M9,4.75,13.75,0.0,1,0.0,0.0,0.0,0.0,0.0
F4_O003,P08_F4_spray_20260924_0800,P08,F4,spray,disease_control,2026-09-24 08:00:00,2026-09-24 16:19:59,2026-09-24 16:19:59,M10,8.3333,8.3333,0.0,1,0.0,0.0,2247.22,-2247.22,0.3698
F7_O006,P14_F7_harvest_20260924_0800,P14,F7,harvest,wheat,2026-09-24 08:00:00,2026-09-24 09:00:00,2026-09-26 15:00:00,M1,1.0,8.0,7.0,2,0.0,61271.65,2000.0,59271.65,0.0
F7_O006,P14_F7_harvest_20260924_0800,P14,F7,harvest,wheat,2026-09-26 08:00:00,2026-09-26 15:00:00,2026-09-26 15:00:00,M1,7.0,8.0,0.0,2,0.0,0.0,0.0,0.0,0.0
