option_id,candidate_id,plan_id,field_id,operation,target,start_time,end_time,completion_time,machine_id,work_hours,workload_hours,remaining_workload_hours,workers_required,water_ml,direct_revenue_aud,direct_cost_aud,direct_cash_effect_aud,state_yield_effect_t_ha
F1_O010,P01_F1_harvest_20260916_0700,P01,F1,harvest,wheat,2026-09-17 07:00:00,2026-09-17 17:00:00,2026-09-22 12:12:00,M1,10.0,20.0,10.875,2,0.0,149840.84,5437.5,144403.34,0.0
F3_O001,P05_F3_spray_20260917_0700,P05,F3,spray,weed_control,2026-09-17 07:00:00,2026-09-17 17:00:00,2026-09-19 15:00:00,M9,10.0,16.7917,7.6667,1,0.0,0.0,3906.06,-3906.06,0.4547
F5_O003,P09_F5_plant_20260916_0900,P09,F5,plant,maize,2026-09-17 07:00:00,2026-09-17 09:37:28,2026-09-22 12:57:14,M5,2.6247,21.2,18.805,2,0.0,0.0,17746.1,-17746.1,4.4995
F3_O001,P05_F3_spray_20260917_0700,P05,F3,spray,weed_control,2026-09-18 07:00:00,2026-09-18 10:40:36,2026-09-19 15:00:00,M9,3.6767,16.7917,4.1,1,0.0,0.0,0.0,0.0,0.0
F4_O002,P07_F4_fertilise_20260918_0700,P07,F4,fertilise,nitrogen,2026-09-18 07:00:00,2026-09-18 16:31:04,2026-09-19 15:00:00,M4,9.518,13.3333,4.1,1,0.0,0.0,9300.18,-9300.18,0.2555
F5_O003,P09_F5_plant_20260916_0900,P09,F5,plant,maize,2026-09-18 07:00:00,2026-09-18 17:00:00,2026-09-22 12:57:14,M5,10.0,21.2,9.1042,2,0.0,0.0,0.0,0.0,0.0
F1_O010,P01_F1_harvest_20260916_0700,P01,F1,harvest,wheat,2026-09-19 08:00:00,2026-09-19 15:00:00,2026-09-22 12:12:00,M1,7.0,20.0,6.775,2,0.0,0.0,0.0,0.0,0.0
F3_O001,P05_F3_spray_20260917_0700,P05,F3,spray,weed_control,2026-09-19 08:00:00,2026-09-19 15:00:00,2026-09-19 15:00:00,M9,7.0,16.7917,0.0,1,0.0,0.0,0.0,0.0,0.0
F4_O002,P07_F4_fertilise_20260918_0700,P07,F4,fertilise,nitrogen,2026-09-19 08:00:00,2026-09-19 15:00:00,2026-09-19 15:00:00,M4,7.0,13.3333,0.0,1,0.0,0.0,0.0,0.0,0.0
F1_O010,P01_F1_harvest_20260916_0700,P01,F1,harvest,wheat,2026-09-20 08:00:00,2026-09-20 11:00:00,2026-09-22 12:12:00,M1,3.0,20.0,5.2,2,0.0,0.0,0.0,0.0,0.0
F5_O003,P09_F5_plant_20260916_0900,P09,F5,plant,maize,2026-09-20 08:00:00,2026-09-20 14:00:00,2026-09-22 12:57:14,M5,6.0,21.2,5.9542,2,0.0,0.0,0.0,0.0,0.0
F1_O010,P01_F1_harvest_20260916_0700,P01,F1,harvest,wheat,2026-09-22 07:00:00,2026-09-22 12:12:00,2026-09-22 12:12:00,M1,5.2,20.0,0.0,2,0.0,0.0,0.0,0.0,0.0
F3_O001,P06_F3_fertilise_20260922_0700,P06,F3,fertilise,nitrogen,2026-09-22 07:00:00,2026-09-22 14:41:30,2026-09-23 17:00:00,M4,7.6917,16.7917,9.1,1,0.0,0.0,9000.34,-9000.34,0.2427
F5_O003,P09_F5_plant_20260916_0900,P09,F5,plant,maize,2026-09-22 07:00:00,2026-09-22 12:57:14,2026-09-22 12:57:14,M5,5.9542,21.2,0.0,2,0.0,0.0,0.0,0.0,0.0
F3_O001,P06_F3_fertilise_20260922_0700,P06,F3,fertilise,nitrogen,2026-09-23 07:00:00,2026-09-23 17:00:00,2026-09-23 17:00:00,M4,10.0,16.7917,0.0,1,0.0,0.0,0.0,0.0,0.0
F7_O002,P14_F7_harvest_20260924_1600,P14,F7,harvest,wheat,2026-09-24 16:00:00,2026-09-24 16:28:03,2026-09-26 15:00:00,M1,0.4676,16.0,15.6025,2,0.0,114743.02,4374.8,110368.22,0.0
F7_O002,P14_F7_harvest_20260924_1600,P14,F7,harvest,wheat,2026-09-25 07:00:00,2026-09-25 17:00:00,2026-09-26 15:00:00,M1,10.0,16.0,6.325,2,0.0,0.0,0.0,0.0,0.0
F7_O002,P14_F7_harvest_20260924_1600,P14,F7,harvest,wheat,2026-09-26 08:00:00,2026-09-26 15:00:00,2026-09-26 15:00:00,M1,7.0,16.0,0.0,2,0.0,0.0,0.0,0.0,0.0
